,Modal Administration,Urban/Rural,Project Name,Applicant,Round,cap_plan,Project Type,Project Description,Amount,coord,lat,lon
35,FHWA,Urban,Park East Corridor Lift Bridges,City of Milwaukee,2009,Capital,Road,"The Juneau Avenue lift bridge will be reconstructed and the Wisconsin Avenue lift bridge will be rehabilitated. The Juneau Avenue Bascule Bridge was built in 1953 and connects Milwaukee residents to one of the most vital employment areas in downtown Milwaukee. The bridge’s deteriorating superstructure and deck require the bridge to be reconstructed. The lift bridges are an important component of the area's transportation system, especially the transit system. The highest downtown employee concentrations are in the area east of the Milwaukee River. The Wisconsin and Juneau Bridges provide important connections for Milwaukee residents to get to and from work. Over the course of its life, the reconstructed Juneau Avenue Bridge will serve more than 257 million vehicles.",21500000.0,"(43.04131, -87.912804)",43.04131,-87.912804
36,FHWA,Urban,Houston Intelligent Transportation System,"Houston, City of",2014,Capital,Road,"The City of Houston will upgrade and expand the existing Intelligent Transportation System infrastructure in order to monitor and manage arterial traffic in real-time. Improvements could include Dynamic Message Signs (DMS), CCTV Cameras, Count Stations, Enhanced Signal Detection, and additional WiMax for count stations and System Integration work.  ",10000000.0,"(29.8192, -95.369568)",29.8192,-95.369568
37,FHWA,Urban,Regional Active Transportation Management (ATM),County of Washington,2014,Capital,Road,"The Washington County and Oregon DOT Regional Active Transportation Management (ATM) will complete ATM systems, active traffic signal management, transit and truck signal priority improvements, bicycle detection and signal timing, and performance monitoring on arterials.",10125000.0,"(45.506828, -122.76947)",45.506828,-122.76947
38,FHWA,Urban,Charter Oak Ranch Road Plan,El Paso County,2014,Planning,Road,"The project will develop conceptual design and preliminary engineering for rehabilitation of access roads leading to Gate 19, which is planned for reopening to provide alternate access to Ft. Carson's military training infrastructure.",1200000.0,"(38.671606, -104.714985)",38.671606,-104.714985
39,FHWA,Rural,US-491 Safety Improvements,Navajo Nation,2009,Capital,Road,"The road connects the local Navajo Nation to other parts of New Mexico, Colorado, and the Four Corners area. It is a major trucking route with increasingly high volumes of commercial traffic. The full project will expand the width of US-491 over a corridor length of approximately 69 miles, constructing two new lanes adjacent to the two existing lanes, improving safety and saves lives on one of the most dangerous routes in New Mexico. The road has a history of traffic accidents and safety problems. Statistics indicate the fatality rate at the north portion of the corridor is about 3.6 times the state average, and at the south portion, about 2.2 times the average state rate.",31000000.0,"(36.085588, -108.273773)",36.085588,-108.273773
40,FHWA,Rural,Electric Vehicle Corridor (I-5),Oregon DOT,2010,Capital,Road,"This project will provide Direct Current Fast Charge Stations for the length of the I-5 corridor in Oregon with gaps not exceeding 50 miles, with a goal of deploying 42 sites. The project facilitates the growth of electric vehicles by expanding the range for travel and giving drivers comfort that they will be able to recharge their EVs outside of metropolitan areas. It may also serve as a model for the future deployment of electric vehicle infrastructure across the country.",2000000.0,"(45.267155, -122.806034)",45.267155,-122.806034
41,MARAD,Urban,Port of Duluth Intermodal,Duluth Seaway Port Authority,2013,Capital,Port,"TIGER funds will be used to rebuild and expand a 28-acre general cargo dock at the Port of Duluth-Superior and connect the site to existing road and rail infrastructure. The project will transform underutilized Docks C and D, currently in deficient condition, into a fully functional intermodal facility to support existing industries and the growth of new commerce throughout the Midwest. The Minnesota Department of Transportation and the Port of Duluth also will provide financial support for the project.",10000000.0,"(46.760453, -92.102441)",46.760453,-92.102441
42,FHWA,Urban,"National Gateway Freight Rail Corridor (OH, PA, WV, MD)",Ohio Development Commission,2009,Capital,Rail,"This package of rail infrastructure and intermodal terminal projects will enhance freight transportation service options along three major freight rail corridors owned and operated by CSX through the Midwest and along the Atlantic coast, allowing trains to carry double- stacked containers, increasing freight capacity and making the corridor more marketable to major East Coast ports and shippers. It doubles rail capacity on a major freight rail corridor with no increase in noise, emissions or train length, with a significant amount of the investments in this corridor coming in economically distressed areas. Allowing for double-stack trains will provide relief to congested rail and highway corridors by enabling trains to carry more freight. The increased capacity and improved economies of scale will provide a cost-effective alternative to long-haul trucking, directly reducing highway congestion and expensive highway maintenance.",98000000.0,"(39.619393, -79.144435)",39.619393,-79.144435
43,MARAD,Urban,Revitalizing Maine's Ports,Maine DOT,2009,Capital,Port,"The project advances Maine's Three-Port Strategy, a long-term strategy developed in 1978 to concentrate state investments in deep-water port facilities. TIGER funds will help the Port of Portland to upgrade the wharf and upland storage facility at the International Marine Terminal Facility; the Port of Searsport to invest in innovative new equipment, including a heavy-lift mobile harbor crane; and the Port of Eastport to invest in storage space and conveyor equipment. This will allow Maine’s ports to diversify revenue sources and help stabilize the economy, position Maine’s ports to move wind turbines and other “green” freight in these economically distressed areas (Searsport and Eastport)",14000000.0,"(44.378059, -69.003342)",44.378059,-69.003342
44,FTA,Urban,East Liberty Transit Center,"City of Pittsburgh, PA",2012,Capital,Transit,"TIGER will fund the building of the East Liberty Transit Center, which will be the multimodal heart of a large, transit-oriented development center between the communities of East Liberty, Shadyside, and Squirrel Hill in Pittsburgh. This suite of complementary improvements includes a two-level transit station linking the bus rapid transit service with street level bus service as well as realignment and reopening of streets, sidewalks, streetscapes, a replacement road bridge, adaptive traffic signals, and a bike and pedestrian access bridge.",15000000.0,"(40.455249, -79.925021)",40.455249,-79.925021
45,FHWA,Rural,Broad Street Road Diet ,City of Camden,2010,Planning,Planning,"The Broad Street Road Diet project will prepare for a significant reduction of truck traffic on Broad Street due to South Carolina DOT’s US 521 Truck Bypass Route Project. The road diet implementation plan responds to recommendations by the Camden Downtown Vision Plan adopted in 2007. The project will reduce Broad Street from four travel lanes to two travel lanes, convert parallel parking to angled parking, and add bicycle lanes, bus pull out lanes, cross walks, intelligent transportation systems, and other multi-modal amenities.",456000.0,"(34.246065, -80.606079)",34.246065,-80.606079
46,FHWA,Urban,Aloha-Reedville Study and Livable Community Plan,Washington County,2010,Planning,Planning,The Livable Community Plan will allow for strategic corridor and town center economic development; land use and streetscape improvements; a bicycle and pedestrian plan; and a housing equity and opportunity strategy in the unincorporated urban area of Washington County between Hillsboro and Beaverton. The plan will investigate causes and develop strategies to stop economic and physical decline in the under-invested area between the fifth and sixth largest cities in Oregon.,1500000.0,"(45.496706, -122.903183)",45.496706,-122.903183
47,FTA,Urban,Connecting our Neighborhoods to Opportunities,"City of Birmingham, Alabama",2015,Capital,Transit,"The Connecting our Neighborhoods to Opportunities Project will support development of a 15-mile bus rapid transit (BRT) line in Birmingham, Alabama. The project includes complete streets, real-time transit information systems, pedestrian safety improvements, and transit maintenance facility renovations.",20000000.0,"(33.5192, -86.8094)",33.5192,-86.8094
48,FTA,Urban,New Orleans Canal Street Ferry Terminal,New Orleans Regional Transit Authority,2015,Capital,Transit,The New Orleans Canal Street Ferry Terminal Project will replace the existing ferry terminal at the end of Canal Street with a modern terminal. ,10038678.0,"(29.9356, -90.0701)",29.9356,-90.0701
49,FHWA,Urban,Link Detroit Multimodal Enhancements,"City of Detroit, MI",2012,Capital,Bicycle and Pedestrian,"TIGER funds will support the Link Detroit project, a series of multi-modal infrastructure improvements that will connect multiple destinations in downtown Detroit. The project will enhance the area surrounding Eastern Market, one of the oldest and most successful public markets in the nation. In addition, it will connect the market district to an existing bike and pedestrian network, while also providing access to employment and educational centers.",10000000.0,"(42.331743, -83.046804)",42.331743,-83.046804
50,FRA,Rural,Prichard Intermodal Facility,West Virginia Public Port Authority,2011,Capital,Rail,"The West Virginia Ports Authority will construct a new intermodal terminal along Norfolk Southern’s Heartland Corridor near Prichard, WV. The Heartland Corridor runs from the Port of Hampton Roads to Columbus, OH, and primarily carries container traffic to and from the port. The closest intermodal facility to the project site is currently over 120 miles away.",12000000.0,"(38.243824, -82.59747)",38.243824,-82.59747
51,FHWA,Urban,Houston Regional Multimodal Connections to Transit,"City of Houston, TX",2012,Capital,Bicycle and Pedestrian,"TIGER funds will be used to eliminate major gaps in Houston’s bike grid, providing direct bicycle and pedestrian transportation connections to local bus stops and rail stations. The TIGER grant will build 7.9 miles of on-street bike lanes, 2.8 miles of sidewalks, and 7.5 miles of off-street paths for use by bicyclists and pedestrians to connect to transit services.",15000000.0,"(29.760003, -95.369524)",29.760003,-95.369524
52,FTA,Urban,Revere Transit Facility and Streetscape,City of Revere,2009,Capital,Transit,"The project will reconfigure acres of dilapidated and aging surface parking lots into a vertical multi-modal transit facility and plaza, linking automobiles, transit, pedestrians and bicyclists in a hospitable environment that encourages alternative transportation options. For decades, auto traffic has overshadowed alternative modes of transit in Revere, in large part due to parking lot sprawl. The Blue Line and Route 1A currently impede direct access for pedestrians and bicyclists and degrade transit connections. This project will provide transit-oriented improvements that enhance livability and travel choices in the Wonderland area.",20000000.0,"(42.406803, -71.012901)",42.406803,-71.012901
53,FTA,Urban,Kansas City Transit Corridors and Green Impact Zone Project,"Kansas City, Mid-America Regional Council, Kansas City Area Transportation Authority, Johnson County, KS and Wyandotte County, KS ",2009,Capital,Transit,"This project will improve infrastructure and replace the Troost Avenue Bridge over Brush Creek in the Green Impact Zone - a 150-block area in urban core of Kansas City, Missouri that has been devastated over the years by high rates of poverty, unemployment, crime, and high concentrations of vacant and abandoned properties. In Kansas City, Kansas, TIGER funds will be used to make investments in major transit corridors, including State Avenue and Metcalf Avenue/Shawnee Mission Parkway. This will enhance quality of life in the Green Impact Zone and provide improvement to public safety, sustainability, housing conditions, access to jobs and services, and economic vitality. Expanding transit service will provide the public with affordable, clean transportation alternatives and better connect neighborhoods to economic opportunities region-wide.",50000000.0,"(39.107903, -94.605632)",39.107903,-94.605632
54,FTA,Urban,Sugar House Streetcar - South Salt Lake City,Utah Transit Authority,2010,Capital,Transit,"This will build a two-mile, modern streetcar line between an urban arterial route, 2100 South, and Interstate 80. The project will connect a thriving regional commercial center and redevelopment area to the highly successful regional TRAX light rail system. This removes an estimated 800 automobiles per day from the local street network, reducing congestion and accidents along the 2100 South corridor and supports development of a regional trail system within the corridor; the planned regional Parley’s trail will be co- located in the right-of-way.",26000000.0,"(40.720852, -111.855438)",40.720852,-111.855438
55,FTA,Urban,Central Omaha Bus Rapid Transit,The Transit Authority of the City of Omaha,2014,Capital,Transit,"The Central Omaha Bus Rapid Transit (BRT) project will construct an 8-mile bus BRT system in Central Omaha, including 14 station pairs that will be served by 8 state-of-the-art BRT vehicles.",14960000.0,"(41.261291, -95.983343)",41.261291,-95.983343
56,FTA,Urban,Forward Madison: Urban Footprint Scenario Planning,City of Madison,2014,Planning,Transit,This project will develop detailed station area corridor TOD plans for three station areas to be served by the upcoming Bus Rapid Transit (BRT) system. ,300000.0,"(43.081985, -89.374056)",43.081985,-89.374056
57,FTA,Urban,South Link: Sea-Tac Airport to South 200th St,Sound Transit,2011,Capital,Transit,"TIGER funding will complete the funding package for the extension of Seattle’s regional light rail system, from the SeaTac Airport to the South King neighborhood.  The extension project, known as the ""South Link Project,"" involves the construction of 1.6-miles of double track aerial guideway and a new light rail station (South 200th Street Station).",10000000.0,"(47.452495, -122.30745)",47.452495,-122.30745
58,FTA,Urban,KC Workforce Connex Project,Mid-America Regional Council,2014,Planning,Regional Planning,The KC Workforce Connex Project will fund a four-part planning study/community engagement effort to improve job-housing connectivity via public transit. ,1200000.0,"(39.124268, -94.613056)",39.124268,-94.613056
59,FHWA,Urban,Interchange at US 10/CSAH 83,Anoka County,2014,Capital,Road,"The Interchange at US 10/CSAH 83 Project consists of the removal of the signalized intersection at US 10/CSAH 83; construction of an interchange at US 10/CSAH 83; construction of an overpass over the BNSF Railway tracks; widening of the CSAH 83 corridor; construction of a sidewalk and trail for pedestrian and bicycle use where no bicycle or pedestrian facilities currently exist; and closure of the non-signalized access points at Llama Street, Traprock Street, and private driveways along US 10.",10000000.0,"(45.234616, -93.470306)",45.234616,-93.470306
60,FTA,Rural,Moscow Intermodal Transit Center ,City of Moscow,2010,Capital,Transit,"This will construct a 6,800 square foot transit facility featuring exterior covered structures with a 5,500 square foot passenger loading zone and secure parking for buses and bicycles. The new facility provides 34 vehicle and 10 bus stalls to link services provided by Moscow Valley Transit, the University of Idaho’s Vandal Shuttle and intercity bus service from Northwest Trailways and Wheatland Express. The facility will also provide access for taxis, vanpools and carpools, and will expand pedestrian and bicyclist accessibility and feature a trailhead link to the 1.5 mile Paradise Path connecting the University and downtown Moscow.",1500000.0,"(46.736214, -117.000816)",46.736214,-117.000816
