,Round,Project Name,Applicant Name,State,City,Project Type,Urban / Rural,Funding Request,Project Cost,Applicant Type,Grant
42,2009,Lutak Dock Port Expansion Phase 1,"Haines Borough, Haines, Alaska",Alaska,Haines,Maritime,Rural,19900000.0,26400000.0,"Local Government (or political subdivision thereof, e.g. City, County, Township, Parish, etc.)",TIGER 2009
43,2009,Port of Anchorage Intermodal Expansion Project (PIEP),Municipality of Anchorage - Port of Anchorage (POA),Alaska,Anchorage,Maritime,Urban/Rural,226624888.0,410071442.0,Port Authority,TIGER 2009
44,2009,"The Gateway Project for the Port of Skagway, Alaska",Municipality of Skagway,Alaska,Skagway,Maritime,Rural,117000000.0,117000.0,Port Authority,TIGER 2009
45,2009,ADOT Active Traffic Management System Proposal,Arizona Department of Transportation,Arizona,Phoenix,Transit,Urban/Rural,240000000.0,240000000.0,State Govt.,TIGER 2009
46,2009,Arizona State Route 89A and Fain Road Widening,Arizona Department of Transportation,Arizona,Prescott,Road,Urban/Rural,39500000.0,50500000.0,Local Govt.,TIGER 2009
47,2009,Copper Country Rail Mobility Initiative,Arizona Department of Transportation,Arizona,Phoenix,Transit,Rural,98000000.0,98000000.0,State Govt.,TIGER 2009
48,2009,Cordes Junction Traffic Interchange,Arizona Department of Transportation,Arizona,Phoenix,Road,Rural,62000000.0,62000000.0,State Govt.,TIGER 2009
49,2009,Highway Construction - (I-10),Arizona Department of Transportation,Arizona,Phoenix,Road,Rural,55000000.0,55000000.0,State Govt.,TIGER 2009
50,2009,Highway Construction Project (SR303L) Peoria to Waddell,Arizona Department of Transportation,Arizona,Phoenix,Road,Urban,69000000.0,143800000.0,State Govt.,TIGER 2009
51,2009,I-10 Highway Construction Project ,Arizona Department of Transportation,Arizona,Phoenix,Road,Urban,62500000.0,62500000.0,State Govt.,TIGER 2009
52,2009,I-10/Replacement Tangerine Road Traffic Interchange,Arizona Department of Transportation,Arizona,Phoenix,Road,Urban,58500000.0,81221215.0,State Govt.,TIGER 2009
53,2009,Traffic Interchange at Sahuarita Road,Arizona Department of Transportation,Arizona,Phoenix,Road,Rural,35000000.0,35000000.0,State Govt.,TIGER 2009
54,2009,Southeastern Arizona-Mexico International Border Road Improvement,Border Road Improvement Coalition,Arizona,Bisbee,Other,Urban/Rural,99005000.0,99005000.0,Local Govt.,TIGER 2009
55,2009,Avondale Energy Efficiency Transportation Depot,"City of Avondale, AZ",Arizona,Avondale,Transit,Urban,31515000.0,33512000.0,Local Govt.,TIGER 2009
56,2009,Mainstreet Reconstruction,"CITY OF COTTONWOOD, ARIZONA",Arizona,Cottonwood,Road,Urban,5600000.0,5595500.0,Local Govt.,TIGER 2009
57,2009,The Realignment of Sunland Gin Road,City of Eloy,Arizona,Eloy,Road,Rural,20000000.0,55000000.0,Local Govt.,TIGER 2009
58,2009,US 180 Corridor Improvements,City of Flagstaff,Arizona,Flagstaff,Road,Urban/Rural,23998191.0,23998191.0,Metropolitan Planning Org,TIGER 2009
59,2009,Loop 303/Northern Parkway Traffic Interchange,City of Glendale,Arizona,Glendale,Road,Urban,80000000.0,80000000.0,Local Govt.,TIGER 2009
60,2009,Kingman Crossing Traffic Interchange,City of Kingman,Arizona,Kingman,Road,Urban/Rural,21050000.0,1535954.0,Local Govt.,TIGER 2009
61,2009,Rattlesnake Wash Traffic Interchange,City of Kingman,Arizona,Kingman,Road,Urban,32468020.0,32468020.0,Local Govt.,TIGER 2009
62,2009,State Route 347 Grade Separation Project,City of Maricopa,Arizona,Maricopa,Road,Rural,20000000.0,41600000.0,Local Govt.,TIGER 2009
63,2009,"Vehicle Overpass Structures Across the Union Pacific Railroad in Downtown Nogales, Arizona","City of Nogales, Arizona",Arizona,Tsaile,Rail,Urban,35540000.0,40600000.0,Local Govt.,TIGER 2009
64,2009,Phoenix Sky Train Extension,"City of Phoenix, Aviation Department",Arizona,Phoenix,Other,Urban,121910000.0,121910000.0,Local Govt.,TIGER 2009
65,2009,Fry Boulevard Corridor Enhancement Project,City of Sierra Vista,Arizona,Sierra Vista,Road,Urban,8000000.0,8500000.0,Local Govt.,TIGER 2009
66,2009,Tuscon Modern Streetcar Project,City of Tucson,Arizona,Tucson,Transit,Urban,73000000.0,73000000.0,Local Govt.,TIGER 2009
67,2009,Avenue 3E (former State Route 280) Reconstruction – Gila Ridge Road to 24th Street,"City of Yuma, AZ",Arizona,Yuma,Road,Urban,6350000.0,6350000.0,Local Govt.,TIGER 2009
68,2009,Connecting Agricultural Transportation Systems (CATS),"Cochise County, Arizona",Arizona,Bisbee,Road,Rural,75000000.0,75000000.0,Local Govt.,TIGER 2009
69,2009,Bellemont Traffic Interchange Project,Coconino County,Arizona,Flagstaff,Road,Urban,14582000.0,14582000.0,Local Govt.,TIGER 2009
70,2009,Tonto Creek Bridge Project,Gila County Public Works Division,Arizona,Globe,Road,Rural,25000000.0,25000000.0,Local Govt.,TIGER 2009
71,2009,Virden Highway Surface Reconstruction Project,Greenlee County,Arizona,Clifton,Road,Rural,1425630.0,1425630.0,Local Govt.,TIGER 2009
72,2009,Freedom Bridge Project,"Lake Havasu City, Arizona",Arizona,Lake Havasu City,Other,Urban,23388336.0,22020000.0,Local Govt.,TIGER 2009
73,2009,Gilbert Road Bridge over the Salt River,Maricopa County Department of Transportation,Arizona,Phoenix,Road,Urban,45600000.0,49100000.0,Transit agency,TIGER 2009
74,2009,Grace Neal Parkway,Mohave County Public Works,Arizona,Kingman,Road,Rural,48698689.0,48698689.0,Local Govt.,TIGER 2009
75,2009,"Mohave County, Arizona Diamond Bar Road",Mohave County Public Works,Arizona,Kingman,Road,Rural,61689889.0,61689889.0,Local Govt.,TIGER 2009
76,2009,Vanderslice Road Construction,Mohave County Public Works,Arizona,Kingman,Road,Rural,16485168.0,16485168.0,Local Govt.,TIGER 2009
77,2009,Southern Navajo County Regional Corridor,Navajo Nation Transit System,Arizona,,Road,Rural,41300000.0,47300000.0,Local Govt.,TIGER 2009
78,2009,Hunt Highway Widening Project,Pinal County (Department of Public Works),Arizona,Florence,Road,Rural,16728746.0,20293004.0,Local Govt.,TIGER 2009
79,2009,Road Extension and Widening Program,Pinal County (Department of Public Works),Arizona,Phoenix,Road,Urban,6520140.0,6552140.0,Local Govt.,TIGER 2009
80,2009,Pima Road Project,Salt River Pima-Maricopa Indian Community,Arizona,Scottsdale,Road,Urban,47000000.0,163031073.0,Tribal government,TIGER 2009
81,2009,20th Avenue Widening and Surface Improvement Project Relation Street to Golf Course Road,The City of Safford,Arizona,Safford,Road,Rural,2153938.0,2200000.0,Local Govt.,TIGER 2009
82,2009,Northern Navajo County Regional Corridor ,The Hopi Tribe,Arizona,Kykotsmovi Village,Road,Urban,21999000.0,22840055.0,Tribal government,TIGER 2009
83,2009,Miller Road Economic Development Corridor,Town of Buckeye,Arizona,Buckeye,Road,Rural,29460000.0,29460000.0,Local Govt.,TIGER 2009
84,2009,"Arizona State Route 79 Improvement in Florence, AZ","Town of Florence, Arizona",Arizona,Phoenix,Road,Rural,2980800.0,4258292.0,Local Govt.,TIGER 2009
85,2009,Shea Blvd Completion Project - SR 87,"Town of Fountain Hills, AZ",Arizona,Fountain Hills,Road,Urban,8963000.0,14199000.0,Local Govt.,TIGER 2009
86,2009,Arizona State Route 260 Widening,Yavapai County,Arizona,Prescott,Road,Rural,34450000.0,34450000.0,Local Govt.,TIGER 2009
87,2009,Highway 71 - Bella Vista Bypass,Arkansas State Highway and Transportation Department,Arkansas,Little Rock,Road,Rural,145400000.0,358100000.0,State Govt.,TIGER 2009
88,2009,"Texarkana, Arkansas TIGER Project","City of Texarkana, Arkansas",Arkansas,Texarkana,Road,Rural,24500000.0,24500000.0,"Local Government (or political subdivision thereof, e.g. City, County, Township, Parish, etc.)",TIGER 2009
89,2009,West Memphis Multimodal Infrastructure Program – Phase 2,City of West Memphis,Arkansas,West Memphis,Other,Urban,15500000.0,15500000.0,Other,TIGER 2009
90,2009,Baldwin Avenue Grade Separation Project ,Alameda Corridor-East Construction Authority,California,Baldwin Park,Road,Urban,33652000.0,75526000.0,Metropolitan Planning Org,TIGER 2009
91,2009,Heim Bridge Replacement / State Route 47 Expressway Project,Alameda Corridor-East Construction Authority,California,Carson,Road,Urban,42000000.0,687000000.0,Questionable or Ineligible,TIGER 2009
92,2009,Biola Sustainable Transportation Rural Infrastructure Improvement Project (STRIIP),Biola Community Services District,California,Fresno,Road,Rural,3168000.0,3168000.0,Local Govt.,TIGER 2009
93,2009,Traffic signal synchronization pilot project,"Brea, Buena Park, Fullerton, and La Habra California",California,,Road,Urban,25197600.0,25197600.0,Local Govt.,TIGER 2009
94,2009,Skyway Widening from Pentz Road to South Park Drive,Butte County Association of Governments,California,Oroville,Road,Urban,52000000.0,80000000.0,Local Govt.,TIGER 2009
95,2009,State Route 70 – Ophir Rd Interchange Project,Butte County Association of Governments,California,Chico,Road,Rural,30000000.0,30000000.0,Local Govt.,TIGER 2009
96,2009,State Route 49 & Mountain Ranch Road,Calaveras Council of Governments,California,San Andreas,Road,Rural,4413467.0,3976000.0,Local Govt.,TIGER 2009
97,2009,Colton Crossing Grade Separation Project,California Department of Transportation,California,Sacramento,Rail,Urban,43800000.0,198300000.0,State Govt.,TIGER 2009
98,2009,Hobart Truck Efficiency Improvement Project,California Department of Transportation,California,Sacramento,Rail,Urban,27010000.0,35010000.0,State Govt.,TIGER 2009
99,2009,I-15 Duncan Canyon Interchange,California Department of Transportation,California,Fontana,Road,Urban,30000000.0,47052605.0,Local Govt.,TIGER 2009
100,2009,Lathrop Intermodal Terminal,California Department of Transportation,California,Sacramento,Rail,Rural,49500000.0,99000000.0,State Govt.,TIGER 2009
101,2009,Route 180 Braided Ramp Project,California Department of Transportation,California,Fresno,Road,Urban,36500000.0,38200000.0,State Govt.,TIGER 2009
102,2009,South Access to the Golden Gate Bridge Doyle Drive Replacement Project,California Department of Transportation,California,San Francisco,Road,Urban,50000000.0,954800000.0,Metropolitan Planning Org,TIGER 2009
103,2009,"Stockton Terminal and Eastern Railroad, Heavy Track Reconstruction Project",California Department of Transportation,California,Sacramento,Rail,Urban,24000000.0,25500000.0,Transit agency,TIGER 2009
104,2009,"California State University, Long Beach (CSULB) Surface Transportation Infrastructure for Intermodal Mobility Improvements Project",California State University Long Beach,California,Long Beach,Other,Urban,12270248.0,12270248.0,Other,TIGER 2009
105,2009,INTERSTATE 5 TRUCK LANES,Caltrans District 7 Los Angeles Co. Metropolitan Transportation Authority,California,Los Angeles,Road,Urban,30000000.0,138100000.0,Transit Agency,TIGER 2009
106,2009,Gene Autry Way (West) Highway/ I-5 HOV Interchange Project,City of Anaheim,California,Anaheim,Road,Urban,29000000.0,76100000.0,"Local Government (or political subdivision thereof, e.g. City, County, Township, Parish, etc.)",TIGER 2009
107,2009,INTERSTATE 5 / DESCHUTES ROAD INTERCHANGE IMPROVEMENTS,"City of Anderson, CA",California,Anderson,Road,Rural,8900000.0,10000000.0,Local Govt.,TIGER 2009
108,2009,Public Parking Structure and Re-Vitalization Improvement Project,City of Artesia,California,Artesia,Other,Rural,20050000.0,20050000.0,Local Govt.,TIGER 2009
109,2009,"Public parking structure, downtown re-vitalization, freeway enhancement, traffic signal upgrade",City of Artesia,California,Artesia,Road,Rural,16050000.0,18050000.0,"Local Government (or political subdivision thereof, e.g. City, County, Township, Parish, etc.)",TIGER 2009
110,2009,"Westside Parkway, Stockdale/Heath Tie-in",City of Bakersfield,California,Bakersfield,Road,Urban,35000000.0,891730000.0,Local Govt.,TIGER 2009
111,2009,U.S. Highway 101 / Broadway Reconstruction Project,"City of Burlingame, CA",California,Burlingame,Road,Urban,25000000.0,73000000.0,"Local Government (or political subdivision thereof, e.g. City, County, Township, Parish, etc.)",TIGER 2009
112,2009,Del Amo Boulevard Bridge Replacement,City of Cerritos,California,Cerritos,Transit,Urban,17370000.0,13370000.0,Local Govt.,TIGER 2009
113,2009,Central Avenue Over-Pass Widening and Ramp Improvements,City of Chino,California,Chino,Road,Urban,20000000.0,31940964.0,"Local Government (or political subdivision thereof, e.g. City, County, Township, Parish, etc.)",TIGER 2009
114,2009,Pine Avenue Extension from State Route 71 to Euclid Avenue,City of Chino Public Works Department,California,Chino,Road,Urban,20000000.0,25000000.0,"Local Government (or political subdivision thereof, e.g. City, County, Township, Parish, etc.)",TIGER 2009
115,2009,State Route 75/282 Transportation Corridor Project,"City of Coronado, California",California,Coronado,Road,Urban,30000000.0,61391000.0,Local Govt.,TIGER 2009
116,2009,DORSEY DRIVE INTERCHANGE PROJECT,City of Grass Valley,California,Grass Valley,Road,Rural,22500000.0,31000000.0,"Local Government (or political subdivision thereof, e.g. City, County, Township, Parish, etc.)",TIGER 2009
117,2009,"Hercules Intermodal Transit Center, Intercity Passenger Rail Station",City of Hercules,California,Hercules,Transit,Urban,6000000.0,46305756.0,"Local Government (or political subdivision thereof, e.g. City, County, Township, Parish, etc.)",TIGER 2009
118,2009,SAN BERNARDINO INTERNATIONAL AIRPORT GROUND ACCESS CIRCULATION IMPROVEMENTS,City of Highland,California,Highland,Road,Urban,16961331.0,34961331.0,Local Govt.,TIGER 2009
119,2009,Highway 111 Widening and Beautification Project,"City of Indian Wells, CA",California,Indian Wells,Road,Rural,11422500.0,58600000.0,Local Govt.,TIGER 2009
120,2009,Century Boulevard Multimodal Corridor Project,City of Inglewood,California,Bell,Road,Urban,21010000.0,31985000.0,"Local Government (or political subdivision thereof, e.g. City, County, Township, Parish, etc.)",TIGER 2009
121,2009,La Cienega Avenue Grade Separation Project,City of Inglewood,California,Inglewood,Road,Urban,42000000.0,46301000.0,"Local Government (or political subdivision thereof, e.g. City, County, Township, Parish, etc.)",TIGER 2009
122,2009,West Jack London Boulevard Extension Project,"City of Livermore, CA",California,Livermore,Road,Urban/Rural,4800000.0,4800000.0,Local Govt.,TIGER 2009
123,2009,Long Beach Sustainable and Livable Transportation Program,City of Long Beach,California,Long Beach,Bicycle and Pedestrian,Urban,31938767.0,32587713.0,Local Govt.,TIGER 2009
124,2009,AMERICA’S PORT/ PORT OF LOS ANGELES CONGESTION REDUCTION PROGRAM & RAIL SYSTEM: South Wilmington Grade Separation,City of Los Angeles Harbor Department (Port of Los Angeles),California,San Pedro,Rail,Urban,32488000.0,73060000.0,Local Govt.,TIGER 2009
125,2009,America’s Port/ Port of Los Angeles Congestion Reduction Program & Rail System: West Basin Railyard,City of Los Angeles Harbor Department (Port of Los Angeles),California,San Pedro,Rail,Urban,48822000.0,112494000.0,Other,TIGER 2009
126,2009,CA State Routes 166 & 33 Junction Sustainable Rural Transportation Improvement Project,City of Maricopa,California,Fresno,Road,Rural,2970000.0,2970000.0,Local Govt.,TIGER 2009
127,2009,Sherwood Ave (Off Highway 99) Realignment Improvement Project,City of McFarland,California,Fresno,Road,Rural,2952400.0,2952400.0,Local Govt.,TIGER 2009
128,2009,Fruitvale Transit Village Phase II Transit-Oriented Development,"City of Oakland, California",California,Oakland,Transit,Urban,19500000.0,105000000.0,Local Govt.,TIGER 2009
129,2009,Boulevard Rail Improvements and Transportation Enhancements,City of Oxnard,California,Oxnard,Transit,Urban,20000000.0,1015000.0,Local Govt.,TIGER 2009
130,2009,Integrated Mobility for Economic Growth,City of Pasadena,California,Pasadena,Transit,Urban,51408500.0,55355591.0,"Local Government (or political subdivision thereof, e.g. City, County, Township, Parish, etc.)",TIGER 2009
131,2009,STATE ROUTE 49 & MAIN STREET INTERSECTION IMPROVEMENT PROJECT,City of Plymouth,California,Plymouth,Road,Rural,1700000.0,3000000.0,Local Govt.,TIGER 2009
132,2009,I-15 AT BASE LINE ROAD INTERCHANGE PROJECT,City of Rancho Cucamonga,California,Rancho Cucamonga,Road,Urban,20000000.0,43100000.0,"Local Government (or political subdivision thereof, e.g. City, County, Township, Parish, etc.)",TIGER 2009
133,2009,Oasis New Towne: at the Crossroads of Interstate 5 and Oasis Road,City of Redding,California,Redding,Road,Urban,24750000.0,33450000.0,"Local Government (or political subdivision thereof, e.g. City, County, Township, Parish, etc.)",TIGER 2009
134,2009,Metrolink Parking Lot Expansion,City of Rialto,California,Rialto,Transit,Urban,9450000.0,12000000.0,Local Govt.,TIGER 2009
135,2009,Pepper Avenue Extension,City of Rialto,California,Rialto,Road,Urban,12000000.0,15000000.0,Local Govt.,TIGER 2009
136,2009,Riverside-UPRR Bridge Widening,City of Rialto,California,Rialto,Road,Urban,40000000.0,40000000.0,Local Govt.,TIGER 2009
137,2009,Riverside-UPRR Bridge Widening,City of Rialto,California,Rialto,Road,Urban,70000000.0,70000000.0,Local Govt.,TIGER 2009
138,2009,Sacramento Intermodal Transportation Facility - Phase 2 Project,City of Sacramento,California,Sacramento,Transit,Urban,30000000.0,36400000.0,Transit Agency,TIGER 2009
139,2009,US 101/LOS OSOS VALLEY ROAD INTERCHANGE REINVESTMENT/IMPROVEMENT PROJECT,City of San Luis Obispo,California,San Luis Obispo,Road,Rural,15000000.0,19584000.0,Local Govt.,TIGER 2009
140,2009,Alton Avenue Overcrossing at State Route 55 Project,City of Santa Ana,California,Santa Ana,Road,Urban,35000000.0,38359272.0,Local Govt.,TIGER 2009
141,2009,SOLANA BEACH HIGHWAY 101 REVITALIZATION PROJECT,City of Solana Beach,California,Solana Beach,Road,Urban,12000000.0,15000000.0,Local Govt.,TIGER 2009
142,2009,STREET REPAIR AND MAINTENANCE FUNDING CITY OF SOUTH LAKE TAHOE,City of South Lake Tahoe Public Works Department,California,South Lake Tahoe,Road,Urban,24040000.0,26040000.0,Local Govt.,TIGER 2009
143,2009,Interstate 5/French Camp Road Interchange & Sperry Road Extension Project,City of Stockton,California,Stockton,Road,Urban,41000000.0,55485936.0,Local Govt.,TIGER 2009
144,2009,West Vista Way Widening and Utility Modification Project,City of Vista,California,Vista,Road,Urban,42707500.0,42707500.0,Local Govt.,TIGER 2009
145,2009,Restore South Center Street,City of Westmorland,California,Westmorland,Road,Urban,20000000.0,20000000.0,"Local Government (or political subdivision thereof, e.g. City, County, Township, Parish, etc.)",TIGER 2009
146,2009,The 5th Street Bridge Safety Replacement Project,City of Yuba City,California,Yuba City,Road,Urban,32311400.0,66190000.0,Local Govt.,TIGER 2009
147,2009,Kings River Bridge and Kings River (Byrd) Slough Bridge on Goodfellow Avenue,County of Fresno,California,Fresno,Road,Urban,5996283.0,8644087.0,Local Govt.,TIGER 2009
148,2009,State Route 126 at Commerce Center Drive Interchange,County of Los Angeles Department of Public Works,California,Alhambra,Road,Urban,30000000.0,62050000.0,Local Govt.,TIGER 2009
149,2009,BRADLEY AVENUE/STATE ROUTE 67 INTERCHANGE PROJECT,"County of San Diego, Department of Public Works",California,San Diego,Road,Urban,30150000.0,37800000.0,Local Govt.,TIGER 2009
150,2009,Willow Road Extension and Interchange,County of San Luis Obispo Department of Public Works,California,,Road,Urban,5000000.0,44000000.0,Local Govt.,TIGER 2009
151,2009,Ballona Creek Bikeway and Pedestrian Enhancement Project,Culver City,California,Culver City,Other,Urban,14250000.0,14250000.0,Local Govt.,TIGER 2009
152,2009,"Planning, Design, and Construction of the Westside Transit Center",Culver City,California,Culver City,Transit,Urban,35124900.0,35124900.0,Local Govt.,TIGER 2009
153,2009,Transit Oriented Development located at the proposed terminus of the Exposition Light Rail Transit Station (LRT),Culver City Redevelopment Agency,California,Culver City,Transit,Urban,8850000.0,290850000.0,Transit Agency,TIGER 2009
154,2009,"US 50 HOV Lanes Extension, Bass Lake Grade to Ponderosa Road:Phase 2A & 2B",El Dorado County Transportation Commission,California,Placerville,Road,Rural,20000000.0,58339000.0,Local Govt.,TIGER 2009
155,2009,construct and rehabilitate key sections of the California Coastal Trail (CCT),Golden Gate National Parks Conservancy,California,Oakland,Transit,Urban,39069360.0,39069360.0,State Government (or political subdivision thereof),TIGER 2009
